State,Year,Region,Age_Group,Gender,Literacy_Rate (%),Dropout_Rate (%),Internet_Access (%),Govt_Education_Spending (₹ per student),Teacher_Student_Ratio
Tamil Nadu,2023,Rural,15-24,Male,78.93,22.88,39.49,3837.93,30.69
Tamil Nadu,2023,Urban,15-24,Female,66.28,1.39,76.55,5223.15,15.0
Tamil Nadu,2023,Rural,15-24,Female,56.9,25.1,75.86,4516.63,24.18
Tamil Nadu,2023,Urban,Above 24,Male,76.17,16.87,60.31,3860.65,26.14
Tamil Nadu,2023,Rural,Above 24,Male,58.47,16.61,69.37,4758.46,27.98
Tamil Nadu,2023,Urban,Above 24,Female,70.08,2.18,83.25,4437.73,28.56
Tamil Nadu,2023,Rural,Above 24,Female,94.93,17.49,33.72,4158.91,39.19
Kerala,2015,Urban,Below 15,Male,79.13,2.81,83.79,3965.48,44.99
Kerala,2015,Rural,Below 15,Male,78.8,13.76,64.22,4554.28,36.82
Kerala,2015,Urban,Below 15,Female,77.85,5.77,60.35,5323.97,27.32
Kerala,2015,Rural,Below 15,Female,58.96,11.22,51.35,6150.02,21.46
Kerala,2015,Urban,15-24,Male,82.24,23.06,68.81,4861.9,21.5
Kerala,2015,Rural,15-24,Male,76.28,21.06,59.79,5449.91,50.72
Kerala,2015,Urban,15-24,Female,82.8,17.63,72.92,4217.47,32.71
Kerala,2015,Rural,15-24,Female,64.05,22.84,64.76,3694.77,39.12
Kerala,2015,Urban,Above 24,Male,91.17,9.41,38.17,4013.74,40.38
Kerala,2015,Rural,Above 24,Male,67.77,11.0,37.43,5172.5,34.37
Kerala,2015,Urban,Above 24,Female,70.61,8.17,64.12,3762.07,42.92
Kerala,2015,Rural,Above 24,Female,59.78,22.09,67.82,5298.65,26.55
Kerala,2016,Urban,Below 15,Male,82.04,9.88,56.44,4759.49,20.57
Kerala,2016,Rural,Below 15,Male,79.88,13.68,48.02,4726.63,27.93
Kerala,2016,Urban,Below 15,Female,78.87,7.63,83.07,3423.22,31.01
Kerala,2016,Rural,Below 15,Female,82.39,11.0,34.83,4911.13,31.44
Kerala,2016,Urban,15-24,Male,85.51,18.45,79.52,5387.76,33.28
Kerala,2016,Rural,15-24,Male,69.59,25.36,73.5,4393.89,22.2
Kerala,2016,Urban,15-24,Female,88.07,15.4,37.41,5177.94,25.72
Kerala,2016,Rural,15-24,Female,66.09,23.66,47.86,5067.56,26.52
Kerala,2016,Urban,Above 24,Male,83.13,8.7,81.08,4992.29,22.52
Kerala,2016,Rural,Above 24,Male,78.86,13.32,57.12,4793.83,44.71
Kerala,2016,Urban,Above 24,Female,70.77,8.25,69.71,4257.46,36.4
Kerala,2016,Rural,Above 24,Female,46.84,10.73,28.98,5260.25,43.68
Kerala,2017,Urban,Below 15,Male,76.96,9.16,71.05,5429.5,22.58
Kerala,2017,Rural,Below 15,Male,70.38,20.88,52.52,4651.67,38.01
Kerala,2017,Urban,Below 15,Female,45.97,13.39,60.19,3035.49,34.09
Kerala,2017,Rural,Below 15,Female,76.74,15.31,59.29,5789.82,40.52
Kerala,2017,Urban,15-24,Male,98.4,19.71,71.13,3218.43,28.03
Kerala,2017,Rural,15-24,Male,63.57,32.85,42.36,4598.56,34.41
Kerala,2017,Urban,15-24,Female,77.44,24.48,60.66,4655.69,24.06
Kerala,2017,Rural,15-24,Female,53.8,18.94,44.44,4156.56,24.46
Kerala,2017,Urban,Above 24,Male,63.94,9.58,47.43,5108.04,30.66
Kerala,2017,Rural,Above 24,Male,53.42,14.45,33.72,4755.34,40.72
Kerala,2017,Urban,Above 24,Female,54.25,10.58,67.6,5037.07,31.71
Kerala,2017,Rural,Above 24,Female,55.48,14.4,33.06,5360.81,30.17
Kerala,2018,Urban,Below 15,Male,97.01,9.7,59.37,3289.03,15.57
Kerala,2018,Rural,Below 15,Male,52.16,17.34,52.63,3235.05,37.16
Kerala,2018,Urban,Below 15,Female,68.17,10.73,94.18,5217.47,27.85
Kerala,2018,Rural,Below 15,Female,54.09,5.24,34.21,4331.1,22.1
Kerala,2018,Urban,15-24,Male,80.69,16.38,66.63,3980.0,31.35
Kerala,2018,Rural,15-24,Male,76.42,16.55,66.16,4421.13,30.15
Kerala,2018,Urban,15-24,Female,84.08,17.17,84.3,4729.7,25.1
Kerala,2018,Rural,15-24,Female,70.62,16.28,46.63,4473.42,28.34
Kerala,2018,Urban,Above 24,Male,76.71,1.0,61.77,4574.28,31.28
Kerala,2018,Rural,Above 24,Male,57.72,22.33,32.01,5275.57,33.42
Kerala,2018,Urban,Above 24,Female,66.54,18.88,52.1,5235.32,38.0
Kerala,2018,Rural,Above 24,Female,56.29,22.96,41.25,4730.95,32.08
Kerala,2019,Urban,Below 15,Male,76.66,14.05,81.9,3101.17,40.43
Kerala,2019,Rural,Below 15,Male,51.38,21.16,61.9,3627.23,26.71
Kerala,2019,Urban,Below 15,Female,61.94,8.93,65.38,5123.73,40.48
Kerala,2019,Rural,Below 15,Female,76.96,13.19,41.86,3153.25,23.55
Kerala,2019,Urban,15-24,Male,91.65,24.08,51.48,4026.03,29.79
Kerala,2019,Rural,15-24,Male,74.8,17.95,51.36,4120.93,29.88
Kerala,2019,Urban,15-24,Female,82.46,16.03,63.45,4412.31,29.29
Kerala,2019,Rural,15-24,Female,63.3,20.71,68.98,4948.74,27.64
Kerala,2019,Urban,Above 24,Male,84.97,8.33,87.6,4795.71,29.14
Kerala,2019,Rural,Above 24,Male,72.48,8.15,28.1,3544.86,31.14
Kerala,2019,Urban,Above 24,Female,90.33,21.16,79.57,4900.68,15.59
Kerala,2019,Rural,Above 24,Female,57.57,12.06,35.69,4365.48,26.22
Kerala,2020,Urban,Below 15,Male,58.21,13.74,53.91,4691.4,46.59
Kerala,2020,Rural,Below 15,Male,58.81,3.35,40.71,5380.77,45.67
Kerala,2020,Urban,Below 15,Female,60.7,12.48,63.02,4415.24,51.15
Kerala,2020,Rural,Below 15,Female,47.97,17.27,52.02,5368.63,30.78
Kerala,2020,Urban,15-24,Male,85.08,14.04,74.04,4225.45,34.97
Kerala,2020,Rural,15-24,Male,68.3,23.89,44.56,5400.84,29.59
Kerala,2020,Urban,15-24,Female,59.27,22.31,56.41,3976.99,25.23
Kerala,2020,Rural,15-24,Female,80.74,11.32,92.07,5344.85,31.79
Kerala,2020,Urban,Above 24,Male,77.45,11.43,77.82,5016.17,34.44
Kerala,2020,Rural,Above 24,Male,68.9,15.01,42.73,4344.07,39.07
Kerala,2020,Urban,Above 24,Female,78.94,1.0,79.84,4655.79,29.85
Kerala,2020,Rural,Above 24,Female,59.11,21.62,59.21,3881.7,33.26
Kerala,2021,Urban,Below 15,Male,68.28,3.1,60.6,5189.91,37.63
Kerala,2021,Rural,Below 15,Male,73.13,19.63,52.74,3986.81,33.46
Kerala,2021,Urban,Below 15,Female,81.0,13.77,87.83,5066.64,32.81
Kerala,2021,Rural,Below 15,Female,73.7,15.87,31.77,4369.55,24.04
Kerala,2021,Urban,15-24,Male,75.25,15.28,58.11,4253.63,15.0
Kerala,2021,Rural,15-24,Male,74.13,22.01,32.74,5027.4,37.5
Kerala,2021,Urban,15-24,Female,60.92,12.19,58.46,3748.08,36.64
Kerala,2021,Rural,15-24,Female,65.06,20.68,14.94,5008.33,20.09
Kerala,2021,Urban,Above 24,Male,78.6,11.39,90.41,3452.94,15.0
Kerala,2021,Rural,Above 24,Male,69.84,25.0,63.58,4667.73,26.07
Kerala,2021,Urban,Above 24,Female,81.07,5.13,77.15,4904.38,38.48
Kerala,2021,Rural,Above 24,Female,90.6,17.96,37.37,4479.54,15.85
Kerala,2022,Urban,Below 15,Male,71.05,7.95,62.14,4621.88,23.42
Kerala,2022,Rural,Below 15,Male,79.21,16.0,44.86,4237.68,31.24
Kerala,2022,Urban,Below 15,Female,81.25,5.66,60.13,4257.02,19.23
Kerala,2022,Rural,Below 15,Female,54.81,13.62,58.12,4710.05,31.55
Kerala,2022,Urban,15-24,Male,90.51,15.31,75.86,4417.42,32.12
Kerala,2022,Rural,15-24,Male,66.17,9.81,42.99,5638.2,37.41
Kerala,2022,Urban,15-24,Female,86.65,22.18,71.33,4657.85,25.06
Kerala,2022,Rural,15-24,Female,63.84,25.08,63.06,4388.44,26.4
Kerala,2022,Urban,Above 24,Male,78.01,13.01,48.34,2663.06,25.6
Kerala,2022,Rural,Above 24,Male,55.79,13.46,42.78,4137.4,41.62
Kerala,2022,Urban,Above 24,Female,76.27,11.5,79.33,3588.93,38.31
Kerala,2022,Rural,Above 24,Female,62.24,19.35,28.92,3256.99,36.54
Kerala,2023,Urban,Below 15,Male,81.76,5.49,56.96,5400.35,20.48
Kerala,2023,Rural,Below 15,Male,84.43,11.5,54.58,4237.11,34.83
Kerala,2023,Urban,Below 15,Female,67.56,9.19,70.61,3698.25,35.93
Kerala,2023,Rural,Below 15,Female,57.87,14.86,30.08,2450.13,28.47
Kerala,2023,Urban,15-24,Male,99.0,19.92,69.71,4289.69,30.18
Kerala,2023,Rural,15-24,Male,77.47,16.1,61.71,5072.31,35.75
Kerala,2023,Urban,15-24,Female,81.38,16.1,80.09,4973.45,27.17
Kerala,2023,Rural,15-24,Female,61.26,22.51,68.24,3508.71,18.26
Kerala,2023,Urban,Above 24,Male,79.65,10.25,72.6,4695.16,28.21
Kerala,2023,Rural,Above 24,Male,82.9,8.0,32.57,4417.4,16.85
Kerala,2023,Urban,Above 24,Female,71.24,18.31,70.31,4684.56,19.92
Kerala,2023,Rural,Above 24,Female,56.84,14.12,40.23,5525.32,34.46
Karnataka,2015,Urban,Below 15,Male,66.89,11.23,77.47,5412.12,42.64
Karnataka,2015,Rural,Below 15,Male,57.85,11.95,26.14,4312.78,33.73
Karnataka,2015,Urban,Below 15,Female,82.87,9.62,65.2,4621.41,23.32
Karnataka,2015,Rural,Below 15,Female,83.9,7.96,47.77,6118.88,30.05
Karnataka,2015,Urban,15-24,Male,80.1,14.21,67.29,5598.28,15.0
Karnataka,2015,Rural,15-24,Male,87.33,14.88,41.0,4156.6,34.71
Karnataka,2015,Urban,15-24,Female,61.02,18.31,95.0,3409.46,31.52
Karnataka,2015,Rural,15-24,Female,60.38,24.13,45.29,3986.81,33.9
Karnataka,2015,Urban,Above 24,Male,96.04,9.05,80.8,3465.38,22.35
Karnataka,2015,Rural,Above 24,Male,72.72,23.42,50.33,4249.55,29.99
Karnataka,2015,Urban,Above 24,Female,60.5,13.02,83.23,4138.33,26.24
Karnataka,2015,Rural,Above 24,Female,65.66,13.82,44.01,6179.78,28.02
Karnataka,2016,Urban,Below 15,Male,74.42,6.76,81.16,4355.02,24.81
Karnataka,2016,Rural,Below 15,Male,81.21,23.1,35.99,3006.77,38.06
Karnataka,2016,Urban,Below 15,Female,66.15,13.95,40.45,5214.08,20.31
Karnataka,2016,Rural,Below 15,Female,70.31,16.07,30.69,4174.37,35.49
Karnataka,2016,Urban,15-24,Male,83.06,18.92,95.0,3248.61,42.94
Karnataka,2016,Rural,15-24,Male,73.04,17.51,25.05,4348.7,37.37
Karnataka,2016,Urban,15-24,Female,75.72,23.56,48.23,4490.33,19.98
Karnataka,2016,Rural,15-24,Female,70.64,26.43,38.69,2416.63,31.59
Karnataka,2016,Urban,Above 24,Male,82.37,12.02,88.54,3643.16,35.44
Karnataka,2016,Rural,Above 24,Male,79.93,7.11,49.79,4096.66,29.35
Karnataka,2016,Urban,Above 24,Female,76.48,7.56,59.86,4527.32,21.3
Karnataka,2016,Rural,Above 24,Female,52.14,19.4,27.77,5033.05,33.7
Karnataka,2017,Urban,Below 15,Male,60.74,6.61,87.91,3715.07,26.28
Karnataka,2017,Rural,Below 15,Male,72.62,19.92,41.23,4021.99,41.38
Karnataka,2017,Urban,Below 15,Female,90.39,14.89,71.28,3853.39,23.36
Karnataka,2017,Rural,Below 15,Female,68.23,18.09,66.02,5020.36,17.98
Karnataka,2017,Urban,15-24,Male,92.52,11.01,64.24,4700.16,45.97
Karnataka,2017,Rural,15-24,Male,99.0,25.03,42.25,4927.6,37.1
Karnataka,2017,Urban,15-24,Female,73.79,24.98,73.45,4898.19,35.33
Karnataka,2017,Rural,15-24,Female,71.22,26.19,35.74,4053.36,21.2
Karnataka,2017,Urban,Above 24,Male,82.4,13.89,76.87,5839.59,29.96
Karnataka,2017,Rural,Above 24,Male,74.69,10.54,39.19,5056.43,36.79
Karnataka,2017,Urban,Above 24,Female,70.06,9.64,47.23,4214.38,37.12
Karnataka,2017,Rural,Above 24,Female,68.75,18.5,45.75,4505.65,24.72
Karnataka,2018,Urban,Below 15,Male,84.99,12.1,77.38,4079.17,15.0
Karnataka,2018,Rural,Below 15,Male,78.97,13.61,32.06,5054.78,26.86
Karnataka,2018,Urban,Below 15,Female,83.6,13.09,80.25,3407.24,39.7
Karnataka,2018,Rural,Below 15,Female,65.61,14.15,47.15,3079.01,33.27
Karnataka,2018,Urban,15-24,Male,71.71,9.24,47.16,5390.15,24.97
Karnataka,2018,Rural,15-24,Male,87.34,19.32,19.39,3606.78,39.89
Karnataka,2018,Urban,15-24,Female,75.44,13.26,72.4,4901.43,38.94
Karnataka,2018,Rural,15-24,Female,81.48,20.2,25.11,4169.23,32.08
Karnataka,2018,Urban,Above 24,Male,68.36,5.21,75.16,4461.08,30.26
Karnataka,2018,Rural,Above 24,Male,60.42,14.85,31.14,5212.16,38.28
Karnataka,2018,Urban,Above 24,Female,54.54,5.35,47.55,3979.98,29.33
Karnataka,2018,Rural,Above 24,Female,48.5,11.39,29.94,4665.81,30.55
Karnataka,2019,Urban,Below 15,Male,70.78,10.88,61.8,4282.68,43.39
Karnataka,2019,Rural,Below 15,Male,81.4,9.5,57.45,5149.12,20.81
Karnataka,2019,Urban,Below 15,Female,81.19,17.69,53.16,3766.0,38.14
Karnataka,2019,Rural,Below 15,Female,65.71,18.76,50.11,4812.56,19.39
Karnataka,2019,Urban,15-24,Male,92.47,21.85,66.56,4465.22,17.75
Karnataka,2019,Rural,15-24,Male,77.14,24.86,44.07,5399.48,27.33
Karnataka,2019,Urban,15-24,Female,82.65,10.9,69.65,4360.52,31.8
Karnataka,2019,Rural,15-24,Female,63.3,21.34,57.39,4150.59,17.15
Karnataka,2019,Urban,Above 24,Male,95.5,16.91,50.62,5051.77,25.98
Karnataka,2019,Rural,Above 24,Male,70.63,17.47,41.48,3872.99,24.48
Karnataka,2019,Urban,Above 24,Female,63.84,5.84,68.99,3927.39,35.46
Karnataka,2019,Rural,Above 24,Female,77.87,13.1,48.59,4899.75,33.78
Karnataka,2020,Urban,Below 15,Male,78.76,13.71,77.23,3509.87,36.95
Karnataka,2020,Rural,Below 15,Male,76.87,12.18,45.57,5046.66,28.33
Karnataka,2020,Urban,Below 15,Female,83.73,21.82,58.21,3395.16,32.43
Karnataka,2020,Rural,Below 15,Female,70.22,14.85,66.8,3429.12,35.54
Karnataka,2020,Urban,15-24,Male,75.94,24.6,95.0,3886.67,25.6
Karnataka,2020,Rural,15-24,Male,80.6,20.06,44.32,4520.31,15.0
Karnataka,2020,Urban,15-24,Female,76.86,12.55,62.6,5654.91,19.95
Karnataka,2020,Rural,15-24,Female,75.13,20.61,40.8,5132.3,32.72
Karnataka,2020,Urban,Above 24,Male,83.71,14.84,65.03,4010.21,21.32
Karnataka,2020,Rural,Above 24,Male,59.75,30.75,63.67,3419.14,19.42
Karnataka,2020,Urban,Above 24,Female,77.82,12.74,78.23,4296.04,29.0
Karnataka,2020,Rural,Above 24,Female,66.28,16.43,11.71,4316.16,23.19
Karnataka,2021,Urban,Below 15,Male,79.75,24.93,75.51,4249.18,37.37
Karnataka,2021,Rural,Below 15,Male,72.83,18.1,54.1,6145.23,20.95
Karnataka,2021,Urban,Below 15,Female,77.74,5.37,78.33,3765.05,26.66
Karnataka,2021,Rural,Below 15,Female,60.05,20.88,58.78,3503.43,30.44
Karnataka,2021,Urban,15-24,Male,74.9,9.71,66.74,4253.21,49.41
Karnataka,2021,Rural,15-24,Male,76.33,15.11,36.53,5317.11,46.71
Karnataka,2021,Urban,15-24,Female,61.14,6.6,95.0,4811.69,23.05
Karnataka,2021,Rural,15-24,Female,72.35,8.82,45.05,4762.26,37.39
Karnataka,2021,Urban,Above 24,Male,67.86,10.43,56.12,4704.31,22.84
Karnataka,2021,Rural,Above 24,Male,63.92,11.02,54.77,5186.76,28.12
Karnataka,2021,Urban,Above 24,Female,73.38,2.76,65.5,4459.84,50.97
Karnataka,2021,Rural,Above 24,Female,51.88,23.32,59.95,4724.51,44.07
Karnataka,2022,Urban,Below 15,Male,81.72,11.95,69.2,5478.86,38.77
Karnataka,2022,Rural,Below 15,Male,61.74,9.4,41.96,3859.97,29.49
Karnataka,2022,Urban,Below 15,Female,85.37,7.71,69.36,4546.42,36.79
Karnataka,2022,Rural,Below 15,Female,40.53,12.97,48.17,5460.06,26.06
Karnataka,2022,Urban,15-24,Male,63.23,19.1,60.47,3548.27,25.01
Karnataka,2022,Rural,15-24,Male,70.15,18.98,11.92,5217.65,40.2
Karnataka,2022,Urban,15-24,Female,83.52,10.31,66.98,4494.78,34.79
Karnataka,2022,Rural,15-24,Female,73.68,18.33,46.23,4865.82,41.65
Karnataka,2022,Urban,Above 24,Male,85.05,13.95,71.26,5628.37,33.28
Karnataka,2022,Rural,Above 24,Male,59.39,23.02,55.47,4145.56,26.16
Karnataka,2022,Urban,Above 24,Female,75.97,12.32,72.96,4749.05,43.6
Karnataka,2022,Rural,Above 24,Female,73.72,16.95,59.12,3673.98,33.18
Karnataka,2023,Urban,Below 15,Male,96.09,8.91,57.29,3978.33,21.28
Karnataka,2023,Rural,Below 15,Male,60.15,14.15,23.92,4512.49,37.22
Karnataka,2023,Urban,Below 15,Female,63.92,17.6,77.66,5324.46,24.74
Karnataka,2023,Rural,Below 15,Female,71.55,10.54,58.35,4637.47,34.43
Karnataka,2023,Urban,15-24,Male,70.24,11.52,78.96,3741.32,33.71
Karnataka,2023,Rural,15-24,Male,58.33,26.24,26.51,4941.84,35.01
Karnataka,2023,Urban,15-24,Female,70.03,18.91,73.91,4068.93,21.93
Karnataka,2023,Rural,15-24,Female,47.37,23.75,21.53,4576.28,27.89
Karnataka,2023,Urban,Above 24,Male,84.79,8.49,65.06,5085.5,32.68
Karnataka,2023,Rural,Above 24,Male,71.16,18.35,21.97,5105.43,34.9
Karnataka,2023,Urban,Above 24,Female,62.83,8.78,69.41,4392.4,32.67
Karnataka,2023,Rural,Above 24,Female,77.31,21.41,25.32,4997.66,40.63
Maharashtra,2015,Urban,Below 15,Male,81.87,15.45,95.0,5318.97,31.99
Maharashtra,2015,Rural,Below 15,Male,78.45,16.72,45.36,4218.87,42.51
Maharashtra,2015,Urban,Below 15,Female,64.82,17.66,77.5,3380.56,32.94
Maharashtra,2015,Rural,Below 15,Female,42.0,19.13,58.28,4026.12,30.99
Maharashtra,2015,Urban,15-24,Male,99.0,13.47,54.12,5685.33,45.7
Maharashtra,2015,Rural,15-24,Male,72.04,27.06,65.12,3906.01,26.12
Maharashtra,2015,Urban,15-24,Female,89.31,24.43,78.44,3796.15,45.9
Maharashtra,2015,Rural,15-24,Female,61.69,20.32,50.14,5743.33,36.83
Maharashtra,2015,Urban,Above 24,Male,82.15,12.32,70.65,4946.51,15.0
Maharashtra,2015,Rural,Above 24,Male,65.03,17.21,27.73,4809.06,28.36
Maharashtra,2015,Urban,Above 24,Female,90.55,17.87,63.01,4379.33,29.41
Maharashtra,2015,Rural,Above 24,Female,58.48,16.98,33.63,3595.51,34.98
Maharashtra,2016,Urban,Below 15,Male,84.3,5.98,83.43,3994.74,32.03
Maharashtra,2016,Rural,Below 15,Male,76.2,15.83,51.82,4086.86,28.43
Maharashtra,2016,Urban,Below 15,Female,70.94,6.27,67.35,3261.11,26.07
Maharashtra,2016,Rural,Below 15,Female,60.15,14.72,41.38,4450.59,33.84
Maharashtra,2016,Urban,15-24,Male,90.75,12.75,51.95,3666.36,26.1
Maharashtra,2016,Rural,15-24,Male,68.48,18.15,25.56,4135.1,31.45
Maharashtra,2016,Urban,15-24,Female,82.95,13.21,63.81,3758.64,29.75
Maharashtra,2016,Rural,15-24,Female,58.52,24.87,18.21,4212.3,32.41
Maharashtra,2016,Urban,Above 24,Male,79.84,23.47,75.25,3696.76,29.24
Maharashtra,2016,Rural,Above 24,Male,50.24,15.6,32.5,5232.31,25.6
Maharashtra,2016,Urban,Above 24,Female,71.83,6.82,95.0,4243.01,44.66
Maharashtra,2016,Rural,Above 24,Female,71.14,18.41,50.53,4815.04,15.0
Maharashtra,2017,Urban,Below 15,Male,75.21,14.23,69.27,3375.85,29.58
Maharashtra,2017,Rural,Below 15,Male,85.04,22.23,44.07,5261.16,27.07
Maharashtra,2017,Urban,Below 15,Female,55.96,5.38,93.44,4280.81,28.05
Maharashtra,2017,Rural,Below 15,Female,60.0,25.52,69.39,6275.02,28.73
Maharashtra,2017,Urban,15-24,Male,84.96,8.42,92.15,3565.78,31.73
Maharashtra,2017,Rural,15-24,Male,61.03,19.06,32.44,4013.7,25.69
Maharashtra,2017,Urban,15-24,Female,71.52,20.17,53.43,4676.43,39.74
Maharashtra,2017,Rural,15-24,Female,61.87,18.41,41.54,5443.78,31.55
Maharashtra,2017,Urban,Above 24,Male,72.69,12.42,53.47,5045.09,33.27
Maharashtra,2017,Rural,Above 24,Male,64.92,11.81,31.7,4927.85,39.83
Maharashtra,2017,Urban,Above 24,Female,66.63,12.29,38.69,4032.31,29.75
Maharashtra,2017,Rural,Above 24,Female,53.9,11.32,34.98,4733.75,28.5
Maharashtra,2018,Urban,Below 15,Male,55.62,1.0,60.9,4866.15,15.0
Maharashtra,2018,Rural,Below 15,Male,63.0,13.37,65.83,4191.98,33.06
Maharashtra,2018,Urban,Below 15,Female,74.41,1.0,81.52,4672.32,34.07
Maharashtra,2018,Rural,Below 15,Female,99.0,5.58,70.87,4270.04,32.3
Maharashtra,2018,Urban,15-24,Male,81.54,13.88,61.45,4763.61,17.86
Maharashtra,2018,Rural,15-24,Male,79.51,19.92,28.05,4139.99,40.06
Maharashtra,2018,Urban,15-24,Female,71.65,17.79,59.04,5106.34,35.48
Maharashtra,2018,Rural,15-24,Female,85.49,21.12,55.03,4578.45,40.37
Maharashtra,2018,Urban,Above 24,Male,70.81,13.73,67.08,4448.65,30.73
Maharashtra,2018,Rural,Above 24,Male,70.52,15.42,48.22,5762.49,37.88
Maharashtra,2018,Urban,Above 24,Female,81.69,7.72,56.66,5264.24,37.01
Maharashtra,2018,Rural,Above 24,Female,77.73,12.98,41.56,3188.41,26.86
Maharashtra,2019,Urban,Below 15,Male,87.97,7.67,79.61,4347.6,32.59
Maharashtra,2019,Rural,Below 15,Male,56.52,16.43,10.0,4350.48,16.96
Maharashtra,2019,Urban,Below 15,Female,85.06,13.89,77.0,5716.8,22.41
Maharashtra,2019,Rural,Below 15,Female,80.47,20.66,41.45,5408.5,21.15
Maharashtra,2019,Urban,15-24,Male,73.75,12.96,62.07,3654.75,39.78
Maharashtra,2019,Rural,15-24,Male,69.41,23.76,36.44,3043.52,32.16
Maharashtra,2019,Urban,15-24,Female,57.88,15.66,49.48,6089.82,37.29
Maharashtra,2019,Rural,15-24,Female,68.06,28.32,32.31,4934.78,31.6
Maharashtra,2019,Urban,Above 24,Male,80.64,16.36,80.99,4730.98,16.76
Maharashtra,2019,Rural,Above 24,Male,58.4,15.39,46.4,3595.84,49.29
Maharashtra,2019,Urban,Above 24,Female,88.16,13.01,71.08,4330.23,22.38
Maharashtra,2019,Rural,Above 24,Female,63.77,17.29,26.37,4767.34,28.76
Maharashtra,2020,Urban,Below 15,Male,58.92,5.7,63.8,6010.15,34.45
Maharashtra,2020,Rural,Below 15,Male,54.65,18.43,21.79,5366.15,26.23
Maharashtra,2020,Urban,Below 15,Female,72.06,16.63,50.69,3382.31,25.33
Maharashtra,2020,Rural,Below 15,Female,73.38,8.4,10.0,4139.07,34.41
Maharashtra,2020,Urban,15-24,Male,94.0,13.68,63.83,5423.12,15.04
Maharashtra,2020,Rural,15-24,Male,68.11,22.95,51.74,4092.15,30.28
Maharashtra,2020,Urban,15-24,Female,52.12,12.71,76.8,3714.16,30.47
Maharashtra,2020,Rural,15-24,Female,71.47,20.29,47.56,3729.81,28.35
Maharashtra,2020,Urban,Above 24,Male,84.1,10.78,61.2,4679.37,35.72
Maharashtra,2020,Rural,Above 24,Male,47.5,21.8,39.96,4840.39,39.58
Maharashtra,2020,Urban,Above 24,Female,59.28,6.45,65.67,3873.0,43.88
Maharashtra,2020,Rural,Above 24,Female,54.43,13.22,48.07,3538.28,26.83
Maharashtra,2021,Urban,Below 15,Male,81.17,8.34,68.6,4076.53,17.88
Maharashtra,2021,Rural,Below 15,Male,71.22,24.77,45.28,4680.21,35.54
Maharashtra,2021,Urban,Below 15,Female,60.31,18.51,73.03,5805.49,24.14
Maharashtra,2021,Rural,Below 15,Female,81.18,19.88,53.3,4687.22,28.01
Maharashtra,2021,Urban,15-24,Male,94.01,16.7,40.49,3606.25,28.51
Maharashtra,2021,Rural,15-24,Male,75.1,21.72,63.28,2939.12,31.15
Maharashtra,2021,Urban,15-24,Female,58.82,19.8,68.58,4835.69,23.09
Maharashtra,2021,Rural,15-24,Female,79.79,27.21,53.75,4396.39,34.64
Maharashtra,2021,Urban,Above 24,Male,70.93,14.28,94.74,5356.49,24.16
Maharashtra,2021,Rural,Above 24,Male,71.61,9.53,53.59,4860.48,15.04
Maharashtra,2021,Urban,Above 24,Female,61.38,8.58,65.49,3532.42,33.11
Maharashtra,2021,Rural,Above 24,Female,65.51,15.03,33.66,5338.97,43.24
Maharashtra,2022,Urban,Below 15,Male,73.16,6.94,77.37,4213.58,28.88
Maharashtra,2022,Rural,Below 15,Male,75.4,6.45,64.77,4558.14,26.71
Maharashtra,2022,Urban,Below 15,Female,72.11,9.81,44.03,5695.95,30.33
Maharashtra,2022,Rural,Below 15,Female,67.43,20.76,29.68,4878.78,27.86
Maharashtra,2022,Urban,15-24,Male,90.47,5.36,68.51,4017.74,33.46
Maharashtra,2022,Rural,15-24,Male,76.7,18.46,34.32,4411.47,22.83
Maharashtra,2022,Urban,15-24,Female,85.42,14.15,26.4,4200.14,21.69
Maharashtra,2022,Rural,15-24,Female,50.69,15.81,46.64,5562.91,32.51
Maharashtra,2022,Urban,Above 24,Male,71.93,12.28,63.11,3944.32,20.77
Maharashtra,2022,Rural,Above 24,Male,50.48,14.05,47.37,4422.7,26.67
Maharashtra,2022,Urban,Above 24,Female,63.54,13.04,50.24,5120.82,21.98
Maharashtra,2022,Rural,Above 24,Female,55.48,8.67,37.48,5280.25,34.13
Maharashtra,2023,Urban,Below 15,Male,87.78,12.61,53.44,4235.37,23.76
Maharashtra,2023,Rural,Below 15,Male,81.31,10.02,58.41,5214.36,44.64
Maharashtra,2023,Urban,Below 15,Female,68.9,13.56,95.0,4005.89,17.72
Maharashtra,2023,Rural,Below 15,Female,44.2,19.56,16.75,4202.14,33.5
Maharashtra,2023,Urban,15-24,Male,83.85,18.13,73.33,5523.09,22.38
Maharashtra,2023,Rural,15-24,Male,65.23,18.14,57.45,5220.32,33.61
Maharashtra,2023,Urban,15-24,Female,88.83,10.11,95.0,5718.59,35.88
Maharashtra,2023,Rural,15-24,Female,84.82,13.72,37.13,3911.76,35.77
Maharashtra,2023,Urban,Above 24,Male,67.5,13.79,90.56,5056.16,32.27
Maharashtra,2023,Rural,Above 24,Male,58.12,11.77,63.74,5123.48,29.69
Maharashtra,2023,Urban,Above 24,Female,68.82,1.0,53.94,6029.14,19.76
Maharashtra,2023,Rural,Above 24,Female,64.89,21.04,26.18,4647.77,37.5
Gujarat,2015,Urban,Below 15,Male,78.12,24.34,44.97,5346.98,28.62
Gujarat,2015,Rural,Below 15,Male,75.72,18.21,34.0,4683.2,15.14
